SCOPE	ENTREZ	HUGO	GENENAME	ENSEMBL	HGNC	CHR	MAPLOC	DESCRIPTION	GENETYPE	GSC1	GSC2	HUGO_ENSG	SCOPE_ENSG
AADACL3	126767	AADACL3	AADACL3	ENSG00000188984	32037	1	1p36.21	arylacetamide deacetylase like 3	protein-coding	AADACL3|126767_calculated	merged_AADACL3|126767_calculated	AADACL3_ENSG00000188984	AADACL3_ENSG00000188984
AADACL4	343066	AADACL4	AADACL4	ENSG00000204518	32038	1	1p36.21	arylacetamide deacetylase like 4	protein-coding	AADACL4|343066_calculated	merged_AADACL4|343066_calculated	AADACL4_ENSG00000204518	AADACL4_ENSG00000204518
AADAT	51166	AADAT	AADAT	ENSG00000109576	17929	4	4q33	aminoadipate aminotransferase	protein-coding	AADAT|51166_calculated	merged_AADAT|51166_calculated	AADAT_ENSG00000109576	AADAT_ENSG00000109576
AAGAB	79719	AAGAB	AAGAB	ENSG00000103591	25662	15	15q23	alpha and gamma adaptin binding protein	protein-coding	AAGAB|79719_calculated	merged_AAGAB|79719_calculated	AAGAB_ENSG00000103591	AAGAB_ENSG00000103591
AAK1	22848	AAK1	AAK1	ENSG00000115977	19679	2	2p13.3	AP2 associated kinase 1	protein-coding	AAK1|22848_calculated	merged_AAK1|22848_calculated	AAK1_ENSG00000115977	AAK1_ENSG00000115977
AAMP	14	AAMP	AAMP	ENSG00000127837	18	2	2q35	angio associated migratory cell protein	protein-coding	AAMP|14_calculated	merged_AAMP|14_calculated	AAMP_ENSG00000127837	AAMP_ENSG00000127837
AANAT	15	AANAT	AANAT	ENSG00000129673	19	17	17q25.1	aralkylamine N-acetyltransferase	protein-coding	AANAT|15_calculated	merged_AANAT|15_calculated	AANAT_ENSG00000129673	AANAT_ENSG00000129673
AARS	16	AARS	AARS	ENSG00000090861	20	16	16q22.1	alanyl-tRNA synthetase	protein-coding	AARS|16_calculated	merged_AARS|16_calculated	AARS_ENSG00000090861	AARS_ENSG00000090861
AARS2	57505	AARS2	AARS2	ENSG00000124608	21022	6	6p21.1	"alanyl-tRNA synthetase 2, mitochondrial"	protein-coding	AARS2|57505_calculated	merged_AARS2|57505_calculated	AARS2_ENSG00000124608	AARS2_ENSG00000124608
AASDH	132949	AASDH	AASDH	ENSG00000157426	23993	4	4q12	aminoadipate-semialdehyde dehydrogenase	protein-coding	AASDH|132949_calculated	merged_AASDH|132949_calculated	AASDH_ENSG00000157426	AASDH_ENSG00000157426
AASDHPPT	60496	AASDHPPT	AASDHPPT	ENSG00000149313	14235	11	11q22.3	aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase	protein-coding	AASDHPPT|60496_calculated	merged_AASDHPPT|60496_calculated	AASDHPPT_ENSG00000149313	AASDHPPT_ENSG00000149313
AASS	10157	AASS	AASS	ENSG00000008311	17366	7	7q31.32	aminoadipate-semialdehyde synthase	protein-coding	AASS|10157_calculated	merged_AASS|10157_calculated	AASS_ENSG00000008311	AASS_ENSG00000008311
AATK	9625	AATK	AATK	ENSG00000181409	21	17	17q25.3	apoptosis associated tyrosine kinase	protein-coding	AATK|9625_calculated	merged_AATK|9625_calculated	AATK_ENSG00000181409	AATK_ENSG00000181409
ABAT	18	ABAT	ABAT	ENSG00000183044	23	16	16p13.2	4-aminobutyrate aminotransferase	protein-coding	ABAT|18_calculated	merged_ABAT|18_calculated	ABAT_ENSG00000183044	ABAT_ENSG00000183044
ABCA1	19	ABCA1	ABCA1	ENSG00000165029	29	9	9q31.1	ATP binding cassette subfamily A member 1	protein-coding	ABCA1|19_calculated	merged_ABCA1|19_calculated	ABCA1_ENSG00000165029	ABCA1_ENSG00000165029
ABCA10	10349	ABCA10	ABCA10	ENSG00000154263	30	17	17q24.3	ATP binding cassette subfamily A member 10	protein-coding	ABCA10|10349_calculated	merged_ABCA10|10349_calculated	ABCA10_ENSG00000154263	ABCA10_ENSG00000154263
ABCA11P	79963	ABCA11P	ABCA11P	ENSG00000251595	31	4	4p16.3	"ATP binding cassette subfamily A member 11, pseudogene"	pseudo	ABCA11P|79963_calculated	merged_ABCA11P|79963_calculated	ABCA11P_ENSG00000251595	ABCA11P_ENSG00000251595
ABCA12	26154	ABCA12	ABCA12	ENSG00000144452	14637	2	2q35	ATP binding cassette subfamily A member 12	protein-coding	ABCA12|26154_calculated	merged_ABCA12|26154_calculated	ABCA12_ENSG00000144452	ABCA12_ENSG00000144452
ABCA13	154664	ABCA13	ABCA13	ENSG00000179869	14638	7	7p12.3	ATP binding cassette subfamily A member 13	protein-coding	ABCA13|154664_calculated	merged_ABCA13|154664_calculated	ABCA13_ENSG00000179869	ABCA13_ENSG00000179869
ABCA17P	650655	ABCA17P	ABCA17P	ENSG00000238098	32972	16	16p13.3	"ATP binding cassette subfamily A member 17, pseudogene"	pseudo	ABCA17P|650655_calculated	merged_ABCA17P|650655_calculated	ABCA17P_ENSG00000238098	ABCA17P_ENSG00000238098
ABCA2	20	ABCA2	ABCA2	ENSG00000107331	32	9	9q34.3	ATP binding cassette subfamily A member 2	protein-coding	ABCA2|20_calculated	merged_ABCA2|20_calculated	ABCA2_ENSG00000107331	ABCA2_ENSG00000107331
ABCA3	21	ABCA3	ABCA3	ENSG00000167972	33	16	16p13.3	ATP binding cassette subfamily A member 3	protein-coding	ABCA3|21_calculated	merged_ABCA3|21_calculated	ABCA3_ENSG00000167972	ABCA3_ENSG00000167972
ABCA4	24	ABCA4	ABCA4	ENSG00000198691	34	1	1p22.1	ATP binding cassette subfamily A member 4	protein-coding	ABCA4|24_calculated	merged_ABCA4|24_calculated	ABCA4_ENSG00000198691	ABCA4_ENSG00000198691
ABCA5	23461	ABCA5	ABCA5	ENSG00000154265	35	17	17q24.3	ATP binding cassette subfamily A member 5	protein-coding	ABCA5|23461_calculated	merged_ABCA5|23461_calculated	ABCA5_ENSG00000154265	ABCA5_ENSG00000154265
ABCA6	23460	ABCA6	ABCA6	ENSG00000154262	36	17	17q24.2-q24.3	ATP binding cassette subfamily A member 6	protein-coding	ABCA6|23460_calculated	merged_ABCA6|23460_calculated	ABCA6_ENSG00000154262	ABCA6_ENSG00000154262
ABCA7	10347	ABCA7	ABCA7	ENSG00000064687	37	19	19p13.3	ATP binding cassette subfamily A member 7	protein-coding	ABCA7|10347_calculated	merged_ABCA7|10347_calculated	ABCA7_ENSG00000064687	ABCA7_ENSG00000064687
ABCA8	10351	ABCA8	ABCA8	ENSG00000141338	38	17	17q24.2	ATP binding cassette subfamily A member 8	protein-coding	ABCA8|10351_calculated	merged_ABCA8|10351_calculated	ABCA8_ENSG00000141338	ABCA8_ENSG00000141338
ABCA9	10350	ABCA9	ABCA9	ENSG00000154258	39	17	17q24.2	ATP binding cassette subfamily A member 9	protein-coding	ABCA9|10350_calculated	merged_ABCA9|10350_calculated	ABCA9_ENSG00000154258	ABCA9_ENSG00000154258
ABCB1	5243	ABCB1	ABCB1	ENSG00000085563	40	7	7q21.12	ATP binding cassette subfamily B member 1	protein-coding	ABCB1|5243_calculated	merged_ABCB1|5243_calculated	ABCB1_ENSG00000085563	ABCB1_ENSG00000085563
ABCB10	23456	ABCB10	ABCB10	ENSG00000135776	41	1	1q42.13	ATP binding cassette subfamily B member 10	protein-coding	ABCB10|23456_calculated	merged_ABCB10|23456_calculated	ABCB10_ENSG00000135776	ABCB10_ENSG00000135776
ABCB11	8647	ABCB11	ABCB11	ENSG00000073734	42	2	2q31.1	ATP binding cassette subfamily B member 11	protein-coding	ABCB11|8647_calculated	merged_ABCB11|8647_calculated	ABCB11_ENSG00000073734	ABCB11_ENSG00000073734
ABCB4	5244	ABCB4	ABCB4	ENSG00000005471	45	7	7q21.12	ATP binding cassette subfamily B member 4	protein-coding	ABCB4|5244_calculated	merged_ABCB4|5244_calculated	ABCB4_ENSG00000005471	ABCB4_ENSG00000005471
ABCB5	340273	ABCB5	ABCB5	ENSG00000004846	46	7	7p21.1	ATP binding cassette subfamily B member 5	protein-coding	ABCB5|340273_calculated	merged_ABCB5|340273_calculated	ABCB5_ENSG00000004846	ABCB5_ENSG00000004846
ABCB6	10058	ABCB6	ABCB6	ENSG00000115657	47	2	2q35	ATP binding cassette subfamily B member 6 (Langereis blood group)	protein-coding	ABCB6|10058_calculated	merged_ABCB6|10058_calculated	ABCB6_ENSG00000115657	ABCB6_ENSG00000115657
ABCB7	22	ABCB7	ABCB7	ENSG00000131269	48	X	Xq13.3	ATP binding cassette subfamily B member 7	protein-coding	ABCB7|22_calculated	merged_ABCB7|22_calculated	ABCB7_ENSG00000131269	ABCB7_ENSG00000131269
ABCB8	11194	ABCB8	ABCB8	ENSG00000197150	49	7	7q36.1	ATP binding cassette subfamily B member 8	protein-coding	ABCB8|11194_calculated	merged_ABCB8|11194_calculated	ABCB8_ENSG00000197150	ABCB8_ENSG00000197150
ABCB9	23457	ABCB9	ABCB9	ENSG00000150967	50	12	12q24.31	ATP binding cassette subfamily B member 9	protein-coding	ABCB9|23457_calculated	merged_ABCB9|23457_calculated	ABCB9_ENSG00000150967	ABCB9_ENSG00000150967
ABCC1	4363	ABCC1	ABCC1	ENSG00000103222	51	16	16p13.11	ATP binding cassette subfamily C member 1	protein-coding	ABCC1|4363_calculated	merged_ABCC1|4363_calculated	ABCC1_ENSG00000103222	ABCC1_ENSG00000103222
ABCC10	89845	ABCC10	ABCC10	ENSG00000124574	52	6	6p21.1	ATP binding cassette subfamily C member 10	protein-coding	ABCC10|89845_calculated	merged_ABCC10|89845_calculated	ABCC10_ENSG00000124574	ABCC10_ENSG00000124574
ABCC11	85320	ABCC11	ABCC11	ENSG00000121270	14639	16	16q12.1	ATP binding cassette subfamily C member 11	protein-coding	ABCC11|85320_calculated	merged_ABCC11|85320_calculated	ABCC11_ENSG00000121270	ABCC11_ENSG00000121270
ABCC12	94160	ABCC12	ABCC12	ENSG00000140798	14640	16	16q12.1	ATP binding cassette subfamily C member 12	protein-coding	ABCC12|94160_calculated	merged_ABCC12|94160_calculated	ABCC12_ENSG00000140798	ABCC12_ENSG00000140798
ABCC13	150000	ABCC13	ABCC13	ENSG00000243064	16022	21	21q11.2	ATP binding cassette subfamily C member 13 (pseudogene)	pseudo	ABCC13|150000_calculated	merged_ABCC13|150000_calculated	ABCC13_ENSG00000243064	ABCC13_ENSG00000243064
ABCC2	1244	ABCC2	ABCC2	ENSG00000023839	53	10	10q24.2	ATP binding cassette subfamily C member 2	protein-coding	ABCC2|1244_calculated	merged_ABCC2|1244_calculated	ABCC2_ENSG00000023839	ABCC2_ENSG00000023839
ABCC3	8714	ABCC3	ABCC3	ENSG00000108846	54	17	17q21.33	ATP binding cassette subfamily C member 3	protein-coding	ABCC3|8714_calculated	merged_ABCC3|8714_calculated	ABCC3_ENSG00000108846	ABCC3_ENSG00000108846
ABCC4	10257	ABCC4	ABCC4	ENSG00000125257	55	13	13q32.1	ATP binding cassette subfamily C member 4	protein-coding	ABCC4|10257_calculated	merged_ABCC4|10257_calculated	ABCC4_ENSG00000125257	ABCC4_ENSG00000125257
ABCC5	10057	ABCC5	ABCC5	ENSG00000114770	56	3	3q27.1	ATP binding cassette subfamily C member 5	protein-coding	ABCC5|10057_calculated	merged_ABCC5|10057_calculated	ABCC5_ENSG00000114770	ABCC5_ENSG00000114770
ABCC6	368	ABCC6	ABCC6	ENSG00000091262	57	16	16p13.11	ATP binding cassette subfamily C member 6	protein-coding	ABCC6|368_calculated	merged_ABCC6|368_calculated	ABCC6_ENSG00000091262	ABCC6_ENSG00000091262
ABCC6P2	730013	ABCC6P2	ABCC6P2	ENSG00000255277	33353	16	16p13.11	ATP binding cassette subfamily C member 6 pseudogene 2	pseudo	ABCC6P2|730013_calculated	merged_ABCC6P2|730013_calculated	ABCC6P2_ENSG00000255277	ABCC6P2_ENSG00000255277
ABCC8	6833	ABCC8	ABCC8	ENSG00000006071	59	11	11p15.1	ATP binding cassette subfamily C member 8	protein-coding	ABCC8|6833_calculated	merged_ABCC8|6833_calculated	ABCC8_ENSG00000006071	ABCC8_ENSG00000006071
ABCC9	10060	ABCC9	ABCC9	ENSG00000069431	60	12	12p12.1	ATP binding cassette subfamily C member 9	protein-coding	ABCC9|10060_calculated	merged_ABCC9|10060_calculated	ABCC9_ENSG00000069431	ABCC9_ENSG00000069431
ABCD1	215	ABCD1	ABCD1	ENSG00000101986	61	X	Xq28	ATP binding cassette subfamily D member 1	protein-coding	ABCD1|215_calculated	merged_ABCD1|215_calculated	ABCD1_ENSG00000101986	ABCD1_ENSG00000101986
ABCD2	225	ABCD2	ABCD2	ENSG00000173208	66	12	12q12	ATP binding cassette subfamily D member 2	protein-coding	ABCD2|225_calculated	merged_ABCD2|225_calculated	ABCD2_ENSG00000173208	ABCD2_ENSG00000173208
ABCD3	5825	ABCD3	ABCD3	ENSG00000117528	67	1	1p21.3	ATP binding cassette subfamily D member 3	protein-coding	ABCD3|5825_calculated	merged_ABCD3|5825_calculated	ABCD3_ENSG00000117528	ABCD3_ENSG00000117528
ABCD4	5826	ABCD4	ABCD4	ENSG00000119688	68	14	14q24.3	ATP binding cassette subfamily D member 4	protein-coding	ABCD4|5826_calculated	merged_ABCD4|5826_calculated	ABCD4_ENSG00000119688	ABCD4_ENSG00000119688
ABCE1	6059	ABCE1	ABCE1	ENSG00000164163	69	4	4q31.21	ATP binding cassette subfamily E member 1	protein-coding	ABCE1|6059_calculated	merged_ABCE1|6059_calculated	ABCE1_ENSG00000164163	ABCE1_ENSG00000164163
ABCF1	23	ABCF1	ABCF1	ENSG00000204574	70	6	6p21.33	ATP binding cassette subfamily F member 1	protein-coding	ABCF1|23_calculated	merged_ABCF1|23_calculated	ABCF1_ENSG00000204574	ABCF1_ENSG00000204574
ABCF2	10061	ABCF2	ABCF2	ENSG00000285292	71	7	7q36.1	ATP binding cassette subfamily F member 2	protein-coding	ABCF2|10061_calculated	merged_ABCF2|10061_calculated	ABCF2_ENSG00000285292	ABCF2_ENSG00000285292
ABCF3	55324	ABCF3	ABCF3	ENSG00000161204	72	3	3q27.1	ATP binding cassette subfamily F member 3	protein-coding	ABCF3|55324_calculated	merged_ABCF3|55324_calculated	ABCF3_ENSG00000161204	ABCF3_ENSG00000161204
ABCG1	9619	ABCG1	ABCG1	ENSG00000160179	73	21	21q22.3	ATP binding cassette subfamily G member 1	protein-coding	ABCG1|9619_calculated	merged_ABCG1|9619_calculated	ABCG1_ENSG00000160179	ABCG1_ENSG00000160179
ABCG2	9429	ABCG2	ABCG2	ENSG00000118777	74	4	4q22.1	ATP binding cassette subfamily G member 2 (Junior blood group)	protein-coding	ABCG2|9429_calculated	merged_ABCG2|9429_calculated	ABCG2_ENSG00000118777	ABCG2_ENSG00000118777
ABCG4	64137	ABCG4	ABCG4	ENSG00000172350	13884	11	11q23.3	ATP binding cassette subfamily G member 4	protein-coding	ABCG4|64137_calculated	merged_ABCG4|64137_calculated	ABCG4_ENSG00000172350	ABCG4_ENSG00000172350
ABCG5	64240	ABCG5	ABCG5	ENSG00000138075	13886	2	2p21	ATP binding cassette subfamily G member 5	protein-coding	ABCG5|64240_calculated	merged_ABCG5|64240_calculated	ABCG5_ENSG00000138075	ABCG5_ENSG00000138075
ABCG8	64241	ABCG8	ABCG8	ENSG00000143921	13887	2	2p21	ATP binding cassette subfamily G member 8	protein-coding	ABCG8|64241_calculated	merged_ABCG8|64241_calculated	ABCG8_ENSG00000143921	ABCG8_ENSG00000143921
ABHD1	84696	ABHD1	ABHD1	ENSG00000143994	17553	2	2p23.3	abhydrolase domain containing 1	protein-coding	ABHD1|84696_calculated	merged_ABHD1|84696_calculated	ABHD1_ENSG00000143994	ABHD1_ENSG00000143994
ABHD10	55347	ABHD10	ABHD10	ENSG00000144827	25656	3	3q13.2	abhydrolase domain containing 10	protein-coding	ABHD10|55347_calculated	merged_ABHD10|55347_calculated	ABHD10_ENSG00000144827	ABHD10_ENSG00000144827
ABHD11	83451	ABHD11	ABHD11	ENSG00000106077	16407	7	7q11.23	abhydrolase domain containing 11	protein-coding	ABHD11|83451_calculated	merged_ABHD11|83451_calculated	ABHD11_ENSG00000106077	ABHD11_ENSG00000106077
ABHD12	26090	ABHD12	ABHD12	ENSG00000100997	15868	20	20p11.21	abhydrolase domain containing 12	protein-coding	ABHD12|26090_calculated	merged_ABHD12|26090_calculated	ABHD12_ENSG00000100997	ABHD12_ENSG00000100997
ABHD12B	145447	ABHD12B	ABHD12B	ENSG00000131969	19837	14	14q22.1	abhydrolase domain containing 12B	protein-coding	ABHD12B|145447_calculated	merged_ABHD12B|145447_calculated	ABHD12B_ENSG00000131969	ABHD12B_ENSG00000131969
ABHD13	84945	ABHD13	ABHD13	ENSG00000139826	20293	13	13q33.3	abhydrolase domain containing 13	protein-coding	ABHD13|84945_calculated	merged_ABHD13|84945_calculated	ABHD13_ENSG00000139826	ABHD13_ENSG00000139826
ABHD14A	25864	ABHD14A	ABHD14A	ENSG00000248487	24538	3	3p21.2	abhydrolase domain containing 14A	protein-coding	ABHD14A|25864_calculated	merged_ABHD14A|25864_calculated	ABHD14A_ENSG00000248487	ABHD14A_ENSG00000248487
ABHD14B	84836	ABHD14B	ABHD14B	ENSG00000114779	28235	3	3p21.2	abhydrolase domain containing 14B	protein-coding	ABHD14B|84836_calculated	merged_ABHD14B|84836_calculated	ABHD14B_ENSG00000114779	ABHD14B_ENSG00000114779
ABHD15	116236	ABHD15	ABHD15	ENSG00000168792	26971	17	17q11.2	abhydrolase domain containing 15	protein-coding	ABHD15|116236_calculated	merged_ABHD15|116236_calculated	ABHD15_ENSG00000168792	ABHD15_ENSG00000168792
ABHD2	11057	ABHD2	ABHD2	ENSG00000140526	18717	15	15q26.1	abhydrolase domain containing 2	protein-coding	ABHD2|11057_calculated	merged_ABHD2|11057_calculated	ABHD2_ENSG00000140526	ABHD2_ENSG00000140526
ABHD3	171586	ABHD3	ABHD3	ENSG00000158201	18718	18	18q11.2	abhydrolase domain containing 3	protein-coding	ABHD3|171586_calculated	merged_ABHD3|171586_calculated	ABHD3_ENSG00000158201	ABHD3_ENSG00000158201
ABHD4	63874	ABHD4	ABHD4	ENSG00000100439	20154	14	14q11.2	abhydrolase domain containing 4	protein-coding	ABHD4|63874_calculated	merged_ABHD4|63874_calculated	ABHD4_ENSG00000100439	ABHD4_ENSG00000100439
ABHD5	51099	ABHD5	ABHD5	ENSG00000011198	21396	3	3p21.33	abhydrolase domain containing 5	protein-coding	ABHD5|51099_calculated	merged_ABHD5|51099_calculated	ABHD5_ENSG00000011198	ABHD5_ENSG00000011198
ABHD6	57406	ABHD6	ABHD6	ENSG00000163686	21398	3	3p14.3	abhydrolase domain containing 6	protein-coding	ABHD6|57406_calculated	merged_ABHD6|57406_calculated	ABHD6_ENSG00000163686	ABHD6_ENSG00000163686
ABHD8	79575	ABHD8	ABHD8	ENSG00000127220	23759	19	19p13.11	abhydrolase domain containing 8	protein-coding	ABHD8|79575_calculated	merged_ABHD8|79575_calculated	ABHD8_ENSG00000127220	ABHD8_ENSG00000127220
ABI1	10006	ABI1	ABI1	ENSG00000136754	11320	10	10p12.1	abl interactor 1	protein-coding	ABI1|10006_calculated	merged_ABI1|10006_calculated	ABI1_ENSG00000136754	ABI1_ENSG00000136754
ABI2	10152	ABI2	ABI2	ENSG00000138443	24011	2	2q33.2	abl interactor 2	protein-coding	ABI2|10152_calculated	merged_ABI2|10152_calculated	ABI2_ENSG00000138443	ABI2_ENSG00000138443
ABI3	51225	ABI3	ABI3	ENSG00000108798	29859	17	17q21.32	ABI family member 3	protein-coding	ABI3|51225_calculated	merged_ABI3|51225_calculated	ABI3_ENSG00000108798	ABI3_ENSG00000108798
ABI3BP	25890	ABI3BP	ABI3BP	ENSG00000154175	17265	3	3q12.2	ABI family member 3 binding protein	protein-coding	ABI3BP|25890_calculated	merged_ABI3BP|25890_calculated	ABI3BP_ENSG00000154175	ABI3BP_ENSG00000154175
ABL1	25	ABL1	ABL1	ENSG00000097007	76	9	9q34.12	"ABL proto-oncogene 1, non-receptor tyrosine kinase"	protein-coding	ABL1|25_calculated	merged_ABL1|25_calculated	ABL1_ENSG00000097007	ABL1_ENSG00000097007
ABL2	27	ABL2	ABL2	ENSG00000143322	77	1	1q25.2	"ABL proto-oncogene 2, non-receptor tyrosine kinase"	protein-coding	ABL2|27_calculated	merged_ABL2|27_calculated	ABL2_ENSG00000143322	ABL2_ENSG00000143322
ABLIM1	3983	ABLIM1	ABLIM1	ENSG00000099204	78	10	10q25.3	actin binding LIM protein 1	protein-coding	ABLIM1|3983_calculated	merged_ABLIM1|3983_calculated	ABLIM1_ENSG00000099204	ABLIM1_ENSG00000099204
ABLIM2	84448	ABLIM2	ABLIM2	ENSG00000163995	19195	4	4p16.1	actin binding LIM protein family member 2	protein-coding	ABLIM2|84448_calculated	merged_ABLIM2|84448_calculated	ABLIM2_ENSG00000163995	ABLIM2_ENSG00000163995
ABLIM3	22885	ABLIM3	ABLIM3	ENSG00000173210	29132	5	5q32	actin binding LIM protein family member 3	protein-coding	ABLIM3|22885_calculated	merged_ABLIM3|22885_calculated	ABLIM3_ENSG00000173210	ABLIM3_ENSG00000173210
ABO	28	ABO	ABO	ENSG00000175164	79	9	9q34.2	"ABO, alpha 1-3-N-acetylgalactosaminyltransferase and alpha 1-3-galactosyltransferase"	protein-coding	ABO|28_calculated	merged_ABO|28_calculated	ABO_ENSG00000175164	ABO_ENSG00000175164
ABR	29	ABR	ABR	ENSG00000159842	81	17	17p13.3	ABR activator of RhoGEF and GTPase	protein-coding	ABR|29_calculated	merged_ABR|29_calculated	ABR_ENSG00000159842	ABR_ENSG00000159842
ABRA	137735	ABRA	ABRA	ENSG00000174429	30655	8	8q23.1	actin binding Rho activating protein	protein-coding	ABRA|137735_calculated	merged_ABRA|137735_calculated	ABRA_ENSG00000174429	ABRA_ENSG00000174429
ABT1	29777	ABT1	ABT1	ENSG00000146109	17369	6	6p22.2	activator of basal transcription 1	protein-coding	ABT1|29777_calculated	merged_ABT1|29777_calculated	ABT1_ENSG00000146109	ABT1_ENSG00000146109
ABTB1	80325	ABTB1	ABTB1	ENSG00000114626	18275	3	3q21.3	ankyrin repeat and BTB domain containing 1	protein-coding	ABTB1|80325_calculated	merged_ABTB1|80325_calculated	ABTB1_ENSG00000114626	ABTB1_ENSG00000114626
ABTB2	25841	ABTB2	ABTB2	ENSG00000166016	23842	11	11p13	ankyrin repeat and BTB domain containing 2	protein-coding	ABTB2|25841_calculated	merged_ABTB2|25841_calculated	ABTB2_ENSG00000166016	ABTB2_ENSG00000166016
ACAA1	30	ACAA1	ACAA1	ENSG00000060971	82	3	3p22.2	acetyl-CoA acyltransferase 1	protein-coding	ACAA1|30_calculated	merged_ACAA1|30_calculated	ACAA1_ENSG00000060971	ACAA1_ENSG00000060971
ACAA2	10449	ACAA2	ACAA2	ENSG00000167315	83	18	18q21.1	acetyl-CoA acyltransferase 2	protein-coding	ACAA2|10449_calculated	merged_ACAA2|10449_calculated	ACAA2_ENSG00000167315	ACAA2_ENSG00000167315
ACACB	32	ACACB	ACACB	ENSG00000076555	85	12	12q24.11	acetyl-CoA carboxylase beta	protein-coding	ACACB|32_calculated	merged_ACACB|32_calculated	ACACB_ENSG00000076555	ACACB_ENSG00000076555
ACAD10	80724	ACAD10	ACAD10	ENSG00000111271	21597	12	12q24.12	acyl-CoA dehydrogenase family member 10	protein-coding	ACAD10|80724_calculated	merged_ACAD10|80724_calculated	ACAD10_ENSG00000111271	ACAD10_ENSG00000111271
ACAD11	84129	ACAD11	ACAD11	ENSG00000240303	30211	3	3q22.1	acyl-CoA dehydrogenase family member 11	protein-coding	ACAD11|84129_calculated	merged_ACAD11|84129_calculated	ACAD11_ENSG00000240303	ACAD11_ENSG00000240303
ACAD8	27034	ACAD8	ACAD8	ENSG00000151498	87	11	11q25	acyl-CoA dehydrogenase family member 8	protein-coding	ACAD8|27034_calculated	merged_ACAD8|27034_calculated	ACAD8_ENSG00000151498	ACAD8_ENSG00000151498
ACAD9	28976	ACAD9	ACAD9	ENSG00000177646	21497	3	3q21.3	acyl-CoA dehydrogenase family member 9	protein-coding	ACAD9|28976_calculated	merged_ACAD9|28976_calculated	ACAD9_ENSG00000177646	ACAD9_ENSG00000177646
ACADL	33	ACADL	ACADL	ENSG00000115361	88	2	2q34	acyl-CoA dehydrogenase long chain	protein-coding	ACADL|33_calculated	merged_ACADL|33_calculated	ACADL_ENSG00000115361	ACADL_ENSG00000115361
ACADM	34	ACADM	ACADM	ENSG00000117054	89	1	1p31.1	acyl-CoA dehydrogenase medium chain	protein-coding	ACADM|34_calculated	merged_ACADM|34_calculated	ACADM_ENSG00000117054	ACADM_ENSG00000117054
ACADS	35	ACADS	ACADS	ENSG00000122971	90	12	12q24.31	acyl-CoA dehydrogenase short chain	protein-coding	ACADS|35_calculated	merged_ACADS|35_calculated	ACADS_ENSG00000122971	ACADS_ENSG00000122971
ACADSB	36	ACADSB	ACADSB	ENSG00000196177	91	10	10q26.13	acyl-CoA dehydrogenase short/branched chain	protein-coding	ACADSB|36_calculated	merged_ACADSB|36_calculated	ACADSB_ENSG00000196177	ACADSB_ENSG00000196177
